Question,Answer,URL
How can I attach a source to multiple ancestors using Source Linker?,"You can use Source Linker to attach a source to any family member already included in Family Tree. If the person is not in Family Tree, you can add them and then attach the source. Review the names in the left column of Source Linker, compare them with the right column, and align them if necessary. Click the 'Compare' button, determine if they describe the same person, and click 'Attach' after providing a reason statement.",https://www.familysearch.org/en/help/helpcenter/article/attaching-a-source-to-multiple-people-in-family-tree
What should I do if a person is not identified in Family Tree when using Source Linker?,"If a person from a record isn't identified in Family Tree, check if they are already connected to other relatives. If the person needs to be added, drag their name to the correct line, click 'Add', review the information, and click 'Create New Person'.",https://www.familysearch.org/en/help/helpcenter/article/creating-new-people-in-family-tree
What is the difference between the blue and yellow detach buttons in Source Linker?,"The blue detach button removes the connection between a source and a person in Family Tree if they refer to separate people. The yellow detach button detaches a source from a different person than the one in the right column, used when the previous attachment was a mistake.",https://www.familysearch.org/en/help/helpcenter/article/detaching-sources-that-should-not-be-attached
How can I determine if a source matches my ancestor in Source Linker?,"Ask yourself how well the source matches vital dates, places, and relationships. Ensure there's enough information and watch for red flags, like a significant difference in birth year. The most trustworthy records are closest to the event, such as birth records.",https://www.familysearch.org/en/help/helpcenter/article/determining-if-a-source-matches-your-ancestor
How can I edit information in Family Tree using Source Linker?,"In Source Linker, click the 'Compare' button next to the person’s name. If there is a 'Different' label, click the pencil icon to edit the information. If there is no pencil icon, go to the person’s page in Family Tree to make the change.",https://www.familysearch.org/en/help/helpcenter/article/editing-information-in-your-family-tree
What is the purpose of entering a reason statement in Source Linker?,"A reason statement explains why you made changes to Family Tree. It helps other users understand your decisions and prevents them from undoing your work. The statement should be clear and specific, even if it's brief.",https://www.familysearch.org/en/help/helpcenter/article/entering-a-reason-statement
How do I attach a source from my source box to a person in Family Tree?,"To attach a source from your source box, sign in to FamilySearch, open the source box, find the source, and click 'Attach'. You can search for a person by name, ID, or select from your recent list, then provide a reason and click 'Attach'.",https://www.familysearch.org/en/help/helpcenter/article/from-my-source-box-how-do-i-attach-a-source-to-a-person-in-family-tree
How can I add an unconnected person to Family Tree?,"To add an unconnected person, sign in to FamilySearch, go to 'Recents', and click 'Add Unconnected Person'. Enter their details and create the person if they do not already exist in the search results.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-add-an-unconnected-person-to-family-tree
What should I do if a person's name is not aligned correctly in Source Linker?,"If a person's name is not aligned in Source Linker, use the drag-and-drop feature to organize them correctly. This ensures the comparison is accurate, and you can proceed with attaching or adding the person.",https://www.familysearch.org/en/help/helpcenter/article/using-drag-and-drop-to-organize-families
What should I do if I find information missing from Family Tree while using Source Linker?,"If something is missing in Family Tree, first click 'Add' to transfer the missing detail to the right column in Source Linker. Then click 'Attach' to link the source to the correct person.",https://www.familysearch.org/en/help/helpcenter/article/attaching-a-source-to-multiple-people-in-family-tree
How can I create a new person in Family Tree using Source Linker?,"To create a new person in Family Tree, drag the person’s name from the left column to the correct line, click 'Add', review the information that appears in the panel, and then click 'Create New Person'.",https://www.familysearch.org/en/help/helpcenter/article/creating-new-people-in-family-tree
When should I use the blue detach button in Source Linker?,Use the blue detach button if the source information in the left column and the person in Family Tree on the right column refer to two separate people. This removes the incorrect connection.,https://www.familysearch.org/en/help/helpcenter/article/detaching-sources-that-should-not-be-attached
How should I handle red flags when determining if a source matches my ancestor?,"Watch for major discrepancies, such as a significant difference in birth year. If the birth year is off by many years, the record might refer to a cousin rather than your direct ancestor.",https://www.familysearch.org/en/help/helpcenter/article/determining-if-a-source-matches-your-ancestor
What information is editable in Source Linker when comparing records?,"You can edit details in the right column of Source Linker by clicking the pencil icon next to the 'Different' label. If there is no pencil icon, you will need to visit the person’s profile page in Family Tree to edit the information.",https://www.familysearch.org/en/help/helpcenter/article/editing-information-in-your-family-tree
How do I attach a source to a person in Family Tree using the 'Find by Name' option?,"In your source box, find the source you want to attach and click 'Attach'. Then, select the 'Find by Name' option, enter the person’s name and other information, and find the correct person to attach the source to.",https://www.familysearch.org/en/help/helpcenter/article/from-my-source-box-how-do-i-attach-a-source-to-a-person-in-family-tree
What are some best practices when adding an unconnected person to Family Tree?,"When adding an unconnected person, ensure you record the ID of the new record to quickly locate them later. This can be useful for verifying potential relationships or future connections.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-add-an-unconnected-person-to-family-tree
How do I find a person in Family Tree to attach a source using their ID?,"In the source box, choose 'Find by ID', enter the Family Tree ID number, and search for the person. Once you find them, attach the source and provide a reason for attaching it.",https://www.familysearch.org/en/help/helpcenter/article/from-my-source-box-how-do-i-attach-a-source-to-a-person-in-family-tree
How do I attach a source to a person in Family Tree using the 'Recents' option?,"In your source box, select the 'Recents' option to find a person you’ve recently viewed in Family Tree. Then, attach the source from your source box to that person by following the prompts.",https://www.familysearch.org/en/help/helpcenter/article/from-my-source-box-how-do-i-attach-a-source-to-a-person-in-family-tree
What should I include in a reason statement when attaching a source in Source Linker?,"Your reason statement should be clear, concise, and specific. It should explain why the source is being attached to a person in Family Tree to help other users understand your reasoning.",https://www.familysearch.org/en/help/helpcenter/article/entering-a-reason-statement
How do I change the focus person to attach sources to other people in Family Tree?,"In the source linker, the people are listed according to their relationship to a focus person. To change the focus person, click the **Change** link on the left side of the screen, select the person you want, and confirm by clicking **Change** in the center of the source linker.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-attach-the-other-people-in-a-record-hint-in-family-tree
How do I copy a source from Family Tree into my source box?,"To copy a source to your source box, sign in to FamilySearch.org, navigate to the person page, click the **Sources** tab, select the source you want, and then click **Copy to source box**.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-copy-a-source-from-source-box
How do I correct parent-child relationships in Family Tree?,"To correct parent-child relationships, navigate to the child with the incorrect parents, click the **Details** tab, find the child's name, and click the **Edit icon** to remove or replace the incorrect parent.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-correct-parent-child-relationships-in-family-tree
How do I create a source in Family Tree?,"To create a source, sign in to FamilySearch, navigate to the person's profile, click **Add Source**, enter the source information, and then click **Save**.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-create-a-source-in-family-tree
What should I do if a record hint lines up with the wrong person?,"If a record hint lines up with the wrong person, tap **Not a match** for that person, as you cannot change the focus person in the mobile app.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-attach-the-other-people-in-a-record-hint-in-family-tree
Can I change the title or citation of the original FamilySearch source?,"You cannot change the title, URL, or citation of the original FamilySearch source after copying it to your source box.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-copy-a-source-from-source-box
What happens to a child's record if I remove it from a family's records?,"When you remove a child's record, the child's record remains in Family Tree, linked to any spouses and children.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-correct-parent-child-relationships-in-family-tree
What should I do if the child does not belong in the family?,"If the child does not belong in the family, you should remove or replace the child's link to the parents.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-correct-parent-child-relationships-in-family-tree
"How can I specify biological, step, adopted, and foster relationships in Family Tree?","To specify different types of relationships, you need to adjust the parent-child links accordingly in Family Tree.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-specify-biological-step-adopted-and-foster-relationships-in-family-tree
How do I see what changes have been made about a person in Family Tree?,You can see the changes made about a person by accessing the Latest Changes feature in Family Tree.,https://www.familysearch.org/en/help/helpcenter/article/how-do-i-see-what-changes-have-been-made-about-a-person-in-family-tree
What should I do if I want to merge duplicate records in Family Tree?,"To merge duplicate records, you can follow the instructions to merge possible duplicates by comparing ID numbers.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-merge-possible-duplicates-in-family-tree
